Jonathan Taylor (IND - RB),78
Derrick Henry (TEN - RB),66
Austin Ekeler (LAC - RB),60
Christian McCaffrey (CAR - RB),59
Cooper Kupp (LAR - WR),52
Dalvin Cook (MIN - RB),49
Joe Mixon (CIN - RB),48
Najee Harris (PIT - RB),43
Alvin Kamara (NO - RB),41
Ja'Marr Chase (CIN - WR),41
Justin Jefferson (MIN - WR),41
Deebo Samuel (SF - WR),40
Travis Kelce (KC - TE),38
Mark Andrews (BAL - TE),37
Nick Chubb (CLE - RB),36
Aaron Jones (GB - RB),36
Javonte Williams (DEN - RB),36
Leonard Fournette (TB - RB),35
Saquon Barkley (NYG - RB),35
James Conner (ARI - RB),34
D'Andre Swift (DET - RB),33
Davante Adams (LV - WR),32
David Montgomery (CHI - RB),30
Josh Allen (BUF - QB),29
Stefon Diggs (BUF - WR),29
Ezekiel Elliott (DAL - RB),27
J.K. Dobbins (BAL - RB)INJ,27
CeeDee Lamb (DAL - WR),27
Mike Evans (TB - WR),27
Tyreek Hill (MIA - WR),26
Cam Akers (LAR - RB),25
Breece Hall (NYJ - RB),25
Elijah Mitchell (SF - RB),25
Damien Harris (NE - RB),24
Josh Jacobs (LV - RB),24
Tee Higgins (CIN - WR),24
Patrick Mahomes II (KC - QB),22
A.J. Brown (PHI - WR),22
Travis Etienne Jr. (JAC - RB),21
Miles Sanders (PHI - RB)INJ,21
Mike Williams (LAC - WR),20
Michael Pittman Jr. (IND - WR),19
Kyle Pitts (ATL - TE),19
Justin Herbert (LAC - QB),18
Clyde Edwards-Helaire (KC - RB),18
Rashaad Penny (SEA - RB),18
DJ Moore (CAR - WR),18
Lamar Jackson (BAL - QB),17
Devin Singletary (BUF - RB),17
AJ Dillon (GB - RB),17
Keenan Allen (LAC - WR),17
Gabriel Davis (BUF - WR),17
Brandin Cooks (HOU - WR),17
Darren Waller (LV - TE)INJ,17
Kyler Murray (ARI - QB),16
Jalen Hurts (PHI - QB),16
Tony Pollard (DAL - RB),16
DK Metcalf (SEA - WR),16
Cordarrelle Patterson (ATL - RB),15
Antonio Gibson (WAS - RB),15
Diontae Johnson (PIT - WR),15
George Kittle (SF - TE),15
Rhamondre Stevenson (NE - RB),14
Terry McLaurin (WAS - WR),14
Courtland Sutton (DEN - WR),14
Dalton Schultz (DAL - TE),14
Tom Brady (TB - QB),13
Jaylen Waddle (MIA - WR),13
Michael Thomas (NO - WR)INJ,13
Dak Prescott (DAL - QB),12
Amon-Ra St. Brown (DET - WR),12
Jerry Jeudy (DEN - WR),12
Darnell Mooney (CHI - WR),12
Melvin Gordon III (DEN - RB),11
Chase Edmonds (MIA - RB),11
Tyler Lockett (SEA - WR),11
Chris Godwin (TB - WR)INJ,11
Elijah Moore (NYJ - WR),11
Dallas Goedert (PHI - TE),11
Joe Burrow (CIN - QB)INJ,10
Kareem Hunt (CLE - RB),10
Marquise Brown (ARI - WR)INJ,10
Adam Thielen (MIN - WR),10
Aaron Rodgers (GB - QB),9
Dameon Pierce (HOU - RB),9
Amari Cooper (CLE - WR),9
JuJu Smith-Schuster (KC - WR),9
Matthew Stafford (LAR - QB),8
Trey Lance (SF - QB),8
Brian Robinson Jr. (WAS - RB),8
Robert Woods (TEN - WR)INJ,8
Allen Robinson II (LAR - WR),8
Hunter Renfrow (LV - WR),8
James Robinson (JAC - RB)INJ,7
Michael Carter (NYJ - RB),7
Darrell Henderson Jr. (LAR - RB),7
Ken Walker III (SEA - RB)INJ,7
James Cook (BUF - RB),7
Rashod Bateman (BAL - WR),7
T.J. Hockenson (DET - TE),7
Hunter Henry (NE - TE),7
Russell Wilson (DEN - QB),6
Jamaal Williams (DET - RB),6
Raheem Mostert (MIA - RB),6
DeVonta Smith (PHI - WR),6
Chase Claypool (PIT - WR),6
Brandon Aiyuk (SF - WR),6
Allen Lazard (GB - WR),6
Dawson Knox (BUF - TE),6
Kirk Cousins (MIN - QB),5
Derek Carr (LV - QB),5
Kenneth Gainwell (PHI - RB),5
Alexander Mattison (MIN - RB),5
Mark Ingram II (NO - RB),5
Christian Kirk (JAC - WR),5
Drake London (ATL - WR),5
Zach Ertz (ARI - TE),5
Marlon Mack (HOU - RB),4
Tyler Allgeier (ATL - RB),4
Nyheim Hines (IND - RB),4
Isaiah Spiller (LAC - RB)INJ,4
Rachaad White (TB - RB),4
Treylon Burks (TEN - WR),4
Tua Tagovailoa (MIA - QB),3
Gus Edwards (BAL - RB)INJ,3
Rex Burkhead (HOU - RB),3
J.D. McKissic (WAS - RB),3
Mecole Hardman (KC - WR),3
DeAndre Hopkins (ARI - WR),3
Kenny Golladay (NYG - WR),3
Kadarius Toney (NYG - WR),3
Marquez Valdes-Scantling (KC - WR),3
Mike Gesicki (MIA - TE),3
Ryan Tannehill (TEN - QB),2
Zamir White (LV - RB),2
Khalil Herbert (CHI - RB)INJ,2
Darrel Williams (ARI - RB),2
Jakobi Meyers (NE - WR),2
DeVante Parker (NE - WR),2
Russell Gage (TB - WR)INJ,2
Noah Fant (SEA - TE),2
Tyler Higbee (LAR - TE),2
Cole Kmet (CHI - TE),2
David Njoku (CLE - TE),2
Pat Freiermuth (PIT - TE),2
Tampa Bay Buccaneers (TB - DST),2
Buffalo Bills (BUF - DST),2
Pittsburgh Steelers (PIT - DST),2
Trevor Lawrence (JAC - QB),1
Justin Fields (CHI - QB),1
D'Onta Foreman (CAR - RB),1
Tyler Boyd (CIN - WR),1
Michael Gallup (DAL - WR)INJ,1
Jarvis Landry (NO - WR),1
Chris Olave (NO - WR),1
Robbie Anderson (CAR - WR),1
Irv Smith Jr. (MIN - TE)INJ,1
Gerald Everett (LAC - TE),1
Green Bay Packers (GB - DST),1
Dallas Cowboys (DAL - DST),1
Los Angeles Rams (LAR - DST),1
New Orleans Saints (NO - DST),1
Miami Dolphins (MIA - DST),1
San Francisco 49ers (SF - DST),1
Los Angeles Chargers (LAC - DST),1
Indianapolis Colts (IND - DST),1
Minnesota Vikings (MIN - DST),1
Justin Tucker (BAL - K),1
Harrison Butker (KC - K),1
Daniel Carlson (LV - K),1
Matt Gay (LAR - K),1
Ryan Succop (TB - K),1
Tyler Bass (BUF - K),1
Greg Joseph (MIN - K),1
Mason Crosby (GB - K)INJ,1
Matt Prater (ARI - K),1
Evan McPherson (CIN - K),1
Nick Folk (NE - K),1
Brett Maher (DAL - K),1
Rodrigo Blankenship (IND - K),1
Robbie Gould (SF - K),1
Brandon McManus (DEN - K),1
New England Patriots (NE - DST),1
Cleveland Browns (CLE - DST),1
Kansas City Chiefs (KC - DST),1
Arizona Cardinals (ARI - DST),1
Denver Broncos (DEN - DST),1
Cincinnati Bengals (CIN - DST),1
Tennessee Titans (TEN - DST),1
Washington Commanders (WAS - DST),1
Chicago Bears (CHI - DST),1
Baltimore Ravens (BAL - DST),1
Carolina Panthers (CAR - DST),1
Philadelphia Eagles (PHI - DST),1
Garrett Wilson (NYJ - WR),1
Marvin Jones Jr. (JAC - WR),1
Robert Tonyan (GB - TE),1
Jerick McKinnon (KC - RB),1
Daniel Jones (NYG - QB),1
Matt Ryan (IND - QB),1
Mac Jones (NE - QB),1
Jameis Winston (NO - QB),1
Carson Wentz (WAS - QB),1
Dustin Hopkins (LAC - K),1
Chris Boswell (PIT - K),1
Randy Bullock (TEN - K),1
Wil Lutz (NO - K),1
Jake Elliott (PHI - K),1
Younghoe Koo (ATL - K),1
Jason Sanders (MIA - K),1
New York Giants (NYG - DST),1
Houston Texans (HOU - DST),1
Jacksonville Jaguars (JAC - DST),1
Seattle Seahawks (SEA - DST),1
DJ Chark Jr. (DET - WR),1
New York Jets (NYJ - DST),1
Las Vegas Raiders (LV - DST),1
Detroit Lions (DET - DST),1
Corey Davis (NYJ - WR),1
Jahan Dotson (WAS - WR),1
Van Jefferson (LAR - WR),1
Jalen Tolbert (DAL - WR),1
Atlanta Falcons (ATL - DST),1
Nico Collins (HOU - WR),1
George Pickens (PIT - WR),1
Albert Okwuegbunam (DEN - TE),1
Logan Thomas (WAS - TE),1
Evan Engram (JAC - TE),1
Austin Hooper (TEN - TE),1
Damien Williams (ATL - RB),1
Sony Michel (MIA - RB),1
Isiah Pacheco (KC - RB),1
Boston Scott (PHI - RB),1
Kenyan Drake ( - RB),1
Dontrell Hilliard (TEN - RB),1
Jared Goff (DET - QB),1
Baker Mayfield (CAR - QB),1
Zach Wilson (NYJ - QB),1
Graham Gano (NYG - K),1
Cairo Santos (CHI - K),1
Austin Seibert (DET - K),1
Skyy Moore (KC - WR),1
K.J. Osborn (MIN - WR),1
Donovan Peoples-Jones (CLE - WR),1
Curtis Samuel (WAS - WR),1
Julio Jones (TB - WR),1
Rondale Moore (ARI - WR),1
Parris Campbell (IND - WR),1
Joshua Palmer (LAC - WR),1
Hayden Hurst (CIN - TE),1
Matt Breida (NYG - RB),1
Ameer Abdullah (LV - RB),1
Ronald Jones II (KC - RB),1
Samaje Perine (CIN - RB),1
Davis Mills (HOU - QB),1
Randall Cobb (GB - WR),1
Alec Pierce (IND - WR),1
Nick Westbrook-Ikhine (TEN - WR),1
Kendrick Bourne (NE - WR),1
Sterling Shepard (NYG - WR),1
Mo Alie-Cox (IND - TE),1
Brevin Jordan (HOU - TE),1
Hassan Haskins (TEN - RB),1
Tyrion Davis-Price (SF - RB),1
Chuba Hubbard (CAR - RB),1
Mike Davis (BAL - RB),1
KJ Hamler (DEN - WR),1
Christian Watson (GB - WR),1
A.J. Green (ARI - WR),1
Bryan Edwards (ATL - WR),1
Jameson Williams (DET - WR),1
Devin Duvernay (BAL - WR),1
Zay Jones (JAC - WR),1
Adam Trautman (NO - TE),1
Kyle Rudolph (TB - TE),1
Cameron Brate (TB - TE),1
C.J. Uzomah (NYJ - TE),1
Eno Benjamin (ARI - RB),1
Ke'Shawn Vaughn (TB - RB),1
D'Ernest Johnson (CLE - RB),1
Jeff Wilson Jr. (SF - RB),1
Kyle Juszczyk (SF - RB),1
Phillip Lindsay (IND - RB),1
Tyler Goodson (GB - RB),1
Joshua Kelley (LAC - RB),1
Craig Reynolds (DET - RB),1
Brandon Bolden (LV - RB),1
Marcus Mariota (ATL - QB),1
Byron Pringle (CHI - WR),1
Cedrick Wilson Jr. (MIA - WR),1
Jamison Crowder (BUF - WR),1
Laviska Shenault Jr. (JAC - WR),1
Sammy Watkins (GB - WR),1
James Washington (DAL - WR),1
Romeo Doubs (GB - WR),1
Wan'Dale Robinson (NYG - WR),1
Justin Jackson (DET - RB),1
Chris Evans (CIN - RB),1
Tevin Coleman (NYJ - RB),1
Travis Homer (SEA - RB),1
Nelson Agholor (NE - WR),1
David Bell (CLE - WR),1
Braxton Berrios (NYJ - WR),1
Isaiah McKenzie (BUF - WR),1
Chris Conley (HOU - WR),1
Olamide Zaccheaus (ATL - WR),1
Terrace Marshall Jr. (CAR - WR),1
Mitch Trubisky (PIT - QB),1
Geno Smith (SEA - QB),1
Jacoby Brissett (CLE - QB),1
Deshaun Watson (CLE - QB),1
Kenny Pickett (PIT - QB),1
